Term,Date,Event / Description
Term 1,"Monday, 24 August 2026",All staff members report to school
Term 1,"Wednesday, 26 September 2026",The Prophet's Birthday (Tentative)
Term 1,"Friday, 11 September 2026",Ethiopian New Year
Term 1,"Monday, 14 September 2026",First day of the Term (Academic Year)
Term 1,"Monday, 28 September 2026",First cycle of ECA classes will begin
Term 1,"Monday, 5 October 2026",First cycle of IEP sessions will begin
Term 1,"Monday, 26 October 2026",Half Term assessment begins
Term 1,"Thursday, 29 October 2026 - Friday, 30 October 2026",Half term break
Term 1,"Thursday, 29 October 2026",Half-termly SMT review meeting
Term 1,"Monday, 9 November 2026",First Parent-Teacher conference Day. Settling in report will be issued
Term 1,"Monday, 14 December 2026",End of Term 1 assessment begins
Term 1,"Monday, 21 December 2026",End of term 1 break begins
Term 1,"Tuesday, 22 December 2026",Half-termly SMT review meeting
Term 1,"Saturday, 9 January 2027",Termly PTSA Review Meeting
Term 2,"Monday, 11 January 2027",Term 2 Begins
Term 2,"Tuesday, 19 January 2027",Ethiopian Epiphany / Timket
Term 2,"Friday, 22 January 2027",Second Parent-Teacher conference day. Term one report will be issued
Term 2,"Monday, 25 January 2027",Second cycle of ECA Classes will begin
Term 2,"Monday, 25 January 2027",Second cycle of IEP sessions will begin
Term 2,"Monday, 22 February 2027",Half Term assessment week begins
Term 2,"Tuesday, 23 February 2027",Half-termly SMT review meeting
Term 2,"Monday, 1 March 2027 & Wednesday, 3 March 2027",Half Term Break (School is closed)
Term 2,"Wednesday, 10 March 2027",Eid al-Fitr - Ramadan (Tentative)
Term 2,"Saturday, 3 April 2027",Termly PTSA Review Meeting
Term 2,"Thursday, 22 April 2027 - Monday, 26 April 2027",End of Term 2 Assessment begins
Term 2,"Thursday, 29 April 2027",Half-termly SMT review meeting
Term 2,"Friday, 30 April 2027",End of term 2 break begins
Term 3,"Monday, 10 May 2027",Term 3 Begins
Term 3,"Monday, 17 May 2027",Eid al-Adha / Arafa (Tentative)
Term 3,"Friday, 21 May 2027",3rd Parent-Teacher Conference Day. Second Term Report will be issued
Term 3,"Wednesday, 30 June 2027",End of term Assessment begins
Term 3,"Saturday, 3 July 2027",Termly PTSA Review Meeting
Term 3,"Monday, 12 July 2027",End of year break begins
